Sysnet,NEG,Predicted
b'koji drugi \xc5\xbeeti zlo ; koji nastajati iz velik zloba ili mr\xc5\xbenja . ',1,0
b'zabraniti zakon ili zvani\xc4\x8dno usvojen pravilo ',0,1
b'uzrokovati da ne\xc5\xa1to biti mokar ',0,1
b'iznenadno stanje \xc5\xbeestok emocionalan uznemirenost ',1,0
"b'govoriti nerazgovetno , obi\xc4\x8dno tih glas . '",1,0
b'osobina ste\xc4\x8den kao posledica na\xc4\x8din na koji jesam biti tretirati kao dijeta ',0,1
b'ljudski tvorevina koji jesam neki stvoriti . ',0,1
b'duboko dirnuti . ',1,0
b'bolan ose\xc4\x87aj koji proizlaziti iz svest o nedovoljnost ili krivica ',1,0
b'\xc4\x8cin o\xc5\xa1te\xc4\x87ivanje ne\xc5\xa1to ili neki . ',1,0
b'tako stra\xc5\xa1no da izazivati groza i jeza ',1,0
b'ose\xc4\x87anje naklonost prema neki ili ne\xc4\x87emu dobar ',0,1
b'smanjenje vrednost stvar usled \xc4\x8dinjenje ili ne\xc4\x8dinjenje ',0,1
b'koji jesam saglasan sa princip i metoda koji se koristiti u nauka . ',0,1
b'state of being torn Or burst open ',0,1
b'na nizak nivo po rang ili zna\xc4\x8daj ',1,0
"b'saglasan zakon , prema zakon '",0,1
b'postati nestabilan . ',1,0
"b'izazvati ljutnja , bes . '",0,1
b'koji raskidati sa tradicija i op\xc5\xa1ti prihva\xc4\x87en . ',1,0
"b'Nemogu\xc4\x87nost da se odmoriti , opustiti ili biti miran . '",1,0
b'ljudski biti . ',0,1
b'kvalitet onaj ko jesam bri\xc5\xbeljiv i pa\xc5\xbeljiv . ',0,1
b'sastavljati od komponenta ili delovati . ',1,0
b'koji nemati neki izrazit kvalitet ili karakteristika . ',0,1
b'Poku\xc5\xa1aj da se za sebe dobiti li\xc4\x8dan priznanje ( posebno neprihvatljiv sredstvo ) . ',1,0
"b'napraviti nered , uni\xc5\xa1titi . '",1,0
b'stanje u koji jesam osoba krepak i nem telesni i du\xc5\xa1evan bolest . ',0,1
b'pratiti ili otpratiti ',0,1
b'\xc4\x8cin konstruisanje ne\xc5\xa1to ( kao mas\xc5\xa1inskog delo ) . ',1,0
"b'koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . '",0,1
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',1,0
b'odbiti s gnu\xc5\xa1anje ',1,0
b'osoba ili firma koji zapo\xc5\xa1ljavati radnik ',0,1
b'\xc4\x8cin prevara . ',1,0
b'\xc4\x8cin prljanje ne\xc5\xa1to . ',1,0
b'izuzetno nelagodan ',1,0
b'prekinuti ne\xc4\x8diji zaposlenje . ',0,1
b'U\xc4\x8diniti ru\xc5\xbean . ',1,0
b'ukloniti posve\xc4\x87enost sa osoba ili objekt . ',1,0
b'spojiti ili vezati . ',0,1
b'kada nem jednakost ',1,0
b'\xc4\x8cin koji se sloboda neki osoba ograni\xc4\x8diti tako \xc5\xa1to se ona zato\xc4\x8diti ',1,0
b'koji odrati ( po pitanje cena ) ; za \xc5\xa1ta nerazuman cena tra\xc5\xbeiti ',1,0
"b'blood found in the veins ; "" except in the pulmonary Vein venous blood is rich in carbon dioxide and poor in oxygen "" '",0,1
b'odsustvo kvalitet koji biti \xc4\x8diniti ne\xc5\xa1to vredan ili korisnim . ',1,0
b'O\xc5\xa1te\xc4\x87enje normalan fiziolo\xc5\xa1ki funkcija koji poga\xc4\x91ati deo ili ceo organizam . ',1,0
b'stvar ponuditi na prodaja ',1,0
b'\xc4\x8cin nano\xc5\xa1enje rana . ',1,0
"b'biti la\xc5\xbeljiv , neiskren prema neki . '",1,0
b'Ose\xc4\x87anje samopo\xc5\xa1tovanje i li\xc4\x8dan vrednost . ',0,1
b'okarakterisan prijateljstvo i dobar volja ',0,1
b'onaj \xc5\xa1to jesam otkriven instinkt ili zaklu\xc4\x8divanjem a ne prepoznavanje uo\xc4\x8den znak ',0,1
b'krv se smatrati kao sredi\xc5\xa1te vitalnost . ',0,1
b'moralan izvanrednost . ',0,1
b'stanje koji jo\xc5\xa1 ne odgovarati zrelost . ',1,0
b'koji motivisati briga za otklanjanje patnja drugi . ',0,1
b'nameravan ideja . ',0,1
b'osobina onaj \xc5\xa1to jesam povezati ili stepen ne\xc5\xa1to \xc5\xa1to jesam povezati ',0,1
b'stanje opu\xc5\xa1tenost i neose\xc4\x87anja bol ',0,1
"b'koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebi\xc4\x8dnost drugi '",1,0
b'pod uticaj patnja i tuga ili ispuniti ovaj ose\xc4\x87anje ',1,0
