Sysnet,NEG,Predicted
"b'smear with blood , as In a hunting initiation rit , where the faca of a person is smeared with the blood of the kill '",0,1
b'intenzivan oja\xc4\x91enost ',1,0
b'simptom neki fizi\xc4\x8dki povreda ili poreme\xc4\x87aj . ',1,0
b'stanje duh u koji jesam ne\xc5\xa1to preokupirati . ',0,1
b'osobina onaj \xc5\xa1to ne zaslu\xc5\xbeivati poverenje . ',1,0
b'lepota koji jesam privla\xc4\x8dan \xc4\x8dulo . ',0,1
b'neki nizak rang ili polo\xc5\xbeaj ili kvalitet . ',1,0
b'kratkoro\xc4\x8dno prekidanje svest i smanjenje metabolizam ',0,1
b'ose\xc4\x87anje velik ( obi\xc4\x87no preteran ) ushi\xc4\x87enje ',0,1
b'lo\xc5\xa1e mirisati ',1,0
b'na nizak nivo po rang ili zna\xc4\x8daj ',1,0
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to jesam va\xc5\xbean ili vredan pa\xc5\xbenja . ',1,0
b'radnja koji karakterisati dobro raspolo\xc5\xbeenje ',0,1
b'Obla\xc4\x8diti se u crn kao znak \xc5\xbealost . ',1,0
b'sposobnost da se razumeti ; razumeti i profitirati na iskustvo . ',0,1
b'Prestonca Bosna i Hercegovina . ',0,1
"b'osobina varijabilnost , izmenljivost ili nestajanje u vreme '",1,0
"b'u\xc4\x8diniti da ne\xc5\xa1to postati sanitarni ( bez bacil ) , replaced-dns '",0,1
