Sysnet,NEG,Predicted
b'kvalitet onaj ko jesam bri\xc5\xbeljiv i pa\xc5\xbeljiv . ',0,1
b'objaviti sudski presuda ( neki ) ',1,0
b'ratobornost izazvati stvaran ili pretpostavljen nepravda ( predstaviti kao jedan od smrtan greh ) ',1,0
b'promeniti u suprotnost . ',0,1
b'ose\xc4\x87ati zadovoljstvo zbog ne\xc5\xa1to ',0,1
b'stimulans sa nepo\xc5\xbeeljan posledica ',1,0
b'postati ljut . ',1,0
b'stanje u koji jesam osoba krepak i nem telesni i du\xc5\xa1evan bolest . ',0,1
b'izuzetno nelagodan ',1,0
b'proces zatvaranje ( kao u kapsula ) ',0,1
b'dr\xc5\xbeanje do moralan princip ',1,0
b'ispuniti slutnja ili uznemirenost ; izazvati neprijatan iznena\xc4\x91enost ',0,1
b'U\xc4\x8diniti goreti . ',1,0
b'razmena dobro za dogovoren suma novac . ',1,0
b'gri\xc5\xbea savest kada se neki ose\xc4\x87ati kriv za prekr\xc5\xa1aj ',1,0
"b'koji jesam vlik po koli\xc4\x8dina , broj ili stepen . '",1,0
b'politika usvojen platforma koji politi\xc4\x8dki partija ',0,1
b'koji zaslu\xc5\xbeivati sa\xc5\xbealjenje ili podsticati na sa\xc5\xbealjenje ',1,0
b'sastavljati od komponenta ili delovati . ',1,0
b'koji ose\xc4\x87ati ili ispoljavati velik uzbu\xc4\x91enje ili zainteresovanost ',0,1
b'obestan i uzbudljiv poduhvat ( ne nu\xc5\xbeno zakonit ) ',1,0
b'okoristiti se kakav mogu\xc4\x87nost bez obzir na posledica za drugi ',1,0
"b'napraviti nered , uni\xc5\xa1titi . '",1,0
b'na nizak nivo po rang ili zna\xc4\x8daj ',1,0
b'Ose\xc4\x87aj koji se do\xc5\xbeivljavati u o\xc4\x8dekivanje neki odre\xc4\x91enog bol ili opsasnosti i obi\xc4\x8dno ga pratiti \xc5\xbeelja da se pobe\xc4\x87i . ',1,0
b'ukloniti posve\xc4\x87enost sa osoba ili objekt . ',1,0
b'velik ( glavobolja ) . ',1,0
b'stanje u koji se malo novac i materijalan dobro . ',1,0
b'\xc4\x8ci\xc4\x8dkovac . ',1,0
b'svaki odstupanje od zdrav ili normanog stanje ',1,0
b'osoba koji jesam aktivan u politika . ',0,1
b'koji ne pripadati snaga sopstven zemlja ili snaga saveznik ',1,0
b'koji drugi \xc5\xbeeti zlo ; koji nastajati iz velik zloba ili mr\xc5\xbenja . ',1,0
b'nesposobnost osoba da se setiti ili uraditi onaj \xc5\xa1to obi\xc4\x8dno mo\xc4\x87i ; \xc4\x8desto uzrokovati emoionalnom napetost . ',1,0
b'biti koji neprekidan odse\xc4\x8dak vreme koji uklju\xc4\x8divati i trenutak govor ',0,1
b'stanje u koji \xc4\x8dovek ne mo\xc4\x87i da funkcionisati normalno i bez bol . ',1,0
b'izuzetno uvredljiv za moral ; koji izazivati u\xc5\xbeas ',1,0
