Sysnet,POS,Predicted
b'trljati da biti se odklonio svrab . ',0,1
b'izraz na lice osoba . ',0,1
b'\xc4\x8cin koji se postignuti neki cilj . ',0,1
b'ose\xc4\x87anje zapla\xc5\xa1enost ',0,1
b'Na\xc4\x8diniti neki besniti . ',0,1
b'biti \xc5\xa1ta \xc5\xa1to jesam op\xc5\xa1te prihva\xc4\x87en kao standard vrednost ili mera bogatstvo u odre\xc4\x91enoj zemlja ili region . ',0,1
b'zlonameran zadovoljstvo ',0,1
b'biti prihvatljiv ili pristati . ',1,0
b'osoba koji se brina o ljudi i njihov svojina . ',1,0
b'osobina onaj ko jesam \xc5\xa1iroko prihvatiti i \xc4\x8diji se dru\xc5\xa1tvo tra\xc5\xbeiti . ',1,0
b'mo\xc4\x87i se koristiti i u vremenski smisao ',1,0
b'pun ili ozna\xc4\x8den ozloje\xc4\x91enost ili zlovolja ',0,1
b'biti neki prihvatljiv ili odgovaraju\xc4\x87i . ',1,0
b'koji jesam spojiti ili vezati . ',0,1
b'tra\xc5\xbeiti ili tragati ',0,1
b'\xc4\x8cin dodavanje spolja\xc5\xa1nji ukras na ne\xc5\xa1to . ',0,1
b'skupina koji sara\xc4\x91ivati . ',0,1
b'Ubla\xc5\xbeavanje patnja ; pokazivanje velik dobrota prema izmu\xc4\x8den . ',1,0
b'imati volja i namera da se izvesti neki akcija . ',0,1
b'svu\xc4\x87i ( tu\xc4\x91 ili svoj ) odje\xc4\x87u ',0,1
b'koji imati uro\xc4\x91en sklonost prema dobrota ',1,0
"b'koji pokazivati ili jesam motivisan saose\xc4\x87anje , razumevanje i velikodu\xc5\xa1nost '",1,0
b'\xc4\x8cin koji se ne postignuti nameravati cilj . ',0,1
b'Pomo\xc4\x87 u nevolja . ',1,0
b'koji nastajati iz \xc5\xbeelja da se doprineti blagostanje ili sre\xc4\x87a drugi . ',1,0
b'poja\xc4\x8dati ili smanjiti intenzitet ',0,1
b'oporavak ili na\xc4\x8din \xc4\x8duvanje od gubitak ili opasnost . ',1,0
"b'imati \xc5\xbeelja , \xc4\x8de\xc5\xbenja ili velik apetit za ne\xc5\xa1to . '",1,0
"b'ustanoviti , zasnovati na zakon ili na zvani\xc4\x8dno prihva\xc4\x87en pravilo '",1,0
b'prebaciti u svoj svojina . ',0,1
b'biti u \xc5\xbeivot . ',0,1
b'osoba koji falsifikovati ',0,1
b'ideal prema koji se ne\xc5\xa1to mo\xc4\x87i procenjivati ',0,1
b'op\xc5\xa1te prihvatiti i uva\xc5\xbeiti ',1,0
b'umetnik koji jesam privr\xc5\xbeen ekspresionizam . ',0,1
b'ukloniti ne\xc5\xbeeljen supstanca iz ne\xc5\xa1to . ',0,1
b'uznemiriti i izazvati ga\xc4\x91enje ',0,1
b'biti prihvatljiv ili odgovaraju\xc4\x87i . ',1,0
b'revnostan u posve\xc4\x87enost i privr\xc5\xbeenost ',1,0
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'Aguti i ? ? ',0,1
b'biti u saglasnost . ',0,1
b'nedostatak dare\xc5\xbeljivost ; nesklonost da se da novac . ',0,1
b'ose\xc4\x87anje velik utu\xc4\x8denost i melanholija ',0,1
b'osoba koji koristiti neki stvar ; neki ko koristiti ili upo\xc5\xa1ljavati ne\xc5\xa1to . ',0,1
b'kretati se prema neki ili ne\xc5\xa1to . ',0,1
"b'li\xc4\x8dan sloboda od ropstvo , zarobljeni\xc5\xa1tvo i ugnjetavanje '",0,1
b'gastropode koji imati ? ? ? ',0,1
b'dr\xc5\xbeanje do moralan princip ',1,0
