Sysnet,POS,Predicted
b'\xc4\x8cin promena jedinstvo ili celovitost ne\xc5\xa1to . ',0,1
b'imati ili vr\xc5\xa1iti uticaj ili delovanje . ',0,1
b'\xc4\x8duga ; ? hemlock fir ; ? hemlock spruce ',0,1
"b'u ra\xc4\x8dunarstvo , datote\xc4\x87i server koji mo\xc4\x87i da se koristiti samo za taj funkcija '",0,1
b'stanje biti zaposliti ili imati posati . ',0,1
b'u\xc4\x8diniti mokriti ',0,1
"b'osoba koji pomagati identifikovanje , prevencija ili le\xc4\x8denje bolest ili nemo\xc4\x87a . '",0,1
b'koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ',1,0
b'negativno naelektrisati jon ',0,1
b'kretati se prema neki ili ne\xc5\xa1to . ',0,1
b'ugraviran posveta ',0,1
"b'biti upla\xc5\xa1iti , pla\xc5\xa1iti se '",0,1
b'lay eggs ',0,1
b'stvoriti mi\xc5\xa1ljenje o ne\xc5\xa1to ili preneti stav . ',1,0
"b'koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . '",1,0
b'\xc4\x8cin kada se pritiskati . ',0,1
b'biti \xc5\xa1ta u sklad sa princip pravda ',1,0
b'Omota\xc4\x8d koji trebati da za\xc5\xa1tititi ne\xc5\xa1to od o\xc5\xa1te\xc4\x87ivanje ili povreda . ',1,0
"b'imati po\xc5\xbeeljan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za odre\xc4\x91enu stvar '",1,0
b'ideal prema koji se ne\xc5\xa1to mo\xc4\x87i procenjivati ',0,1
b'za ',0,1
"b'Onak koji jesam produktivan , sve\xc5\xbe , neobi\xc4\x8dan ; ne\xc5\xa1to \xc5\xa1to jesam prvi put smi\xc5\xa1ljeno . '",1,0
b'prdavac ',0,1
b'\xc4\x8ci\xc4\x8dkovac . ',0,1
b'dr\xc5\xbeanje do moralan princip ',0,1
b'kravajac ',0,1
b'\xc4\x8cin opstruiranje . ',0,1
b'sirena ',0,1
b'pavpav ',0,1
b'preslica i sl\xc4\x8dne vrsta . ',0,1
b'biti uputiti ili upoznati sa osoba ili predmet ',0,1
b'tukan ',0,1
b'ose\xc4\x87anje velik utu\xc4\x8denost i melanholija ',0,1
b'an authoritative declaration ',0,1
b'koji odgovarati za svoj postupak . ',1,0
b'U\xc4\x8diniti ponovo . ',0,1
b'Brgljez . ',0,1
b'razvijati se u pozitivan smer ',1,0
"b'osobina varijabilnost , izmenljivost ili nestajanje u vreme '",0,1
b'U\xc4\x8diniti ili prisiliti da se prihvatiti nacizam ili nacisti\xc4\x8dki karakter . ',0,1
b'koji nastajati iz \xc5\xbeelja da se doprineti blagostanje ili sre\xc4\x87a drugi . ',1,0
b'Osli\xc4\x87i . ',0,1
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to jesam va\xc5\xbean ili vredan pa\xc5\xbenja . ',0,1
b'pollack ',0,1
b'Ose\xc4\x87anje pomanjkanje briga . ',0,1
b'\xc5\xbeirafa ',0,1
b'mo\xc4\x87i se koristiti i u vremenski smisao ',1,0
b'proceniti vrednost ne\xc5\xa1to . ',0,1
b'onaj koji postignuti velik ili nagao brzina ili uspon ',0,1
"b'onaj koji se ne mo\xc4\x87i ukazati poverenje , u koji se ne mo\xc4\x87i pouzdati '",0,1
b'fistularija ',0,1
"b'Anturium , filodendron , ? ? '",0,1
b'autorski pseudonim ',0,1
"b'Milava , \xc5\xa1a\xc5\xa1uljica . '",0,1
b'anga\xc5\xbeovati ili unajmiti za neki posao ',1,0
b'moruzge ',0,1
b'kukuruzar ',0,1
b'U\xc4\x8diniti zakon i pravilo liberalan ili liberalan . ',0,1
b'onaj koji jesam po moralan kvalitet ili izgled nalik na an\xc4\x91eo ili svetac ',1,0
b'osoba koji imati radikalan ideja ili mi\xc5\xa1ljenje ',0,1
b'\xc5\xbdabogriz . ',0,1
b'tarkati ',0,1
b'zvonara ',0,1
b'fokus pa\xc5\xbenja javnost ',0,1
b'nedostatak briga za dobrobit drugi ',0,1
"b'\xc5\xa1kripnuti , ? ? ? '",0,1
b'crkven obred koji se ne\xc5\xa1to \xc4\x8diniti svetiti . ',0,1
b'koji se mo\xc4\x87i izra\xc4\x8dunati ili proceniti ',0,1
"b'li\xc4\x8dan sloboda od ropstvo , zarobljeni\xc5\xa1tvo i ugnjetavanje '",1,0
b'pristajanje uz onaj \xc5\xa1to jesam op\xc5\xa1te prihva\xc4\x87en . ',1,0
b'koji jesam otrovati ili proizvoditi otrov . ',0,1
b'imati ne\xc5\xbeeljen ili negativan kvalitet ',0,1
b'sjediniti ili spojiti ',0,1
b'baobab ; ? cream-of-tartar tree ',0,1
b'LA ',0,1
b'uklju\xc4\x8divanje preuzimanje ',0,1
b'osoba sa neobi\xc4\x8dan ili \xc4\x8dudan li\xc4\x8dnost ',0,1
b'Ne\xc5\xa1to \xc5\xa1to imati veli\xc4\x8dina i mo\xc4\x87i da se predstaviti matemati\xc4\x8dki izraz pomo\xc4\x87u konstane ili promenljiv . ',1,0
b'koji ne\xc5\xa1to potvr\xc4\x91ivati ',1,0
"b'onaj \xc5\xa1to jesam u saglasnost s norma ili \xc5\xa1to \xc4\x8diniti norma ( standard , socijalan norma , ird ) . '",1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
b'postati imu\xc4\x87an ili bogat ',0,1
b'zanimanje moler . ',0,1
b'divokoza ',0,1
b'mehurast foka ',0,1
b'nadmo\xc4\x87an ili povoljan polo\xc5\xbeaj ',1,0
"b'istopiti se , polomiti ili na drugi na\xc4\x8din postati neupotrebljiv ; o sijalica i osigura\xc4\x8d '",0,1
b'biti koji od velik krilni ili repni pero ptica ',0,1
b'proizvesti smeh . ',1,0
"b'osobina , svojstvo onaj \xc5\xa1to jesam konkavan '",0,1
b'koristiti se kao eksploziv i za ve\xc5\xa1ta\xc4\x8dki \xc4\x91ubrivo ',0,1
b'okrutno ili nehuman postupanje ',0,1
b'biti pa\xc5\xbeljiv ili siguran da se ne\xc5\xa1to u\xc4\x8diniti ; uveriti se u ne\xc5\xa1to ',0,1
b'osobina ljudi da verovati u po\xc5\xa1tenje i pouzdanost drugi ',1,0
b'osoba koji imati konzervativan ideja ili stav . ',0,1
b'U\xc4\x8diniti goreti . ',0,1
b'bosti ',0,1
b'biti sastojak . ',0,1
"b'U\xc4\x8diniti atraktivan dodavanje ukras , boja , i sl . '",1,0
b'kljunari ',0,1
b'Vi\xc4\x91liva spolja\xc5\xa1njost neki ili ne\xc5\xa1to . ',0,1
b'Prostorna osobina ne\xc5\xa1to \xc5\xa1to imati dimenzija . ',0,1
"b'prijatan za o\xc4\x8di ili du\xc5\xa1a , posebno jer jesam lep ili \xc5\xa1armantan . '",1,0
b'Ose\xc4\x87anje naklonjenost drugi osoba ; u\xc5\xbeivanje u njihov dru\xc5\xa1tvo ',1,0
b'babun . ',0,1
b'Ispla\xc4\x87eni novac . ',0,1
b'osoba koji jesam umreti i proglasiti za svetac proces kanonizacije ',1,0
b'koji izazivati poti\xc5\xa1tenost ',0,1
b'\xc4\x8diji naslednik biti ',0,1
b'tuja ',0,1
b'osoba koji sejati . ',0,1
b'U\xc4\x8diniti da neki postati dr\xc5\xbeavljanin . ',0,1
b'velik po stepen ili intenzitet ili broj ili koli\xc4\x8dina . ',1,0
b'Blitva ',0,1
