Sysnet,NEG,Predicted
b'koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ',1,0
b'tuga izazvan bol i tuga ',1,0
b'koji s ne pokretati . ',1,0
b'stanje stvar koji jesam skoro izvan ne\xc4\x8diji mogu\xc4\x87nost da jesam re\xc5\xa1iti i zahtevati velik napor da se re\xc5\xa1iti ili prevazi\xc4\x87i . ',1,0
b'bolan ose\xc4\x87aj koji proizlaziti iz svest o nedovoljnost ili krivica ',1,0
b'lo\xc5\xa1e mirisati ',1,0
"b'odbojno , vrlo neprijateljski pona\xc5\xa1anje '",1,0
b'U\xc4\x8diniti ru\xc5\xbean . ',1,0
b'\xc5\xbealostan zbog gubitak ili uskra\xc4\x87enosti ',1,0
b'dati oblik ili forma ne\xc5\xa1to . ',1,0
b'ose\xc4\x87anje misaon tuga ',1,0
b'u koji nem \xc5\xbeivot . ',1,0
b'koji jesam veseo niti izazivati veselje ',1,0
b'koji ispoljavati \xc5\xbealost ',1,0
b'moralno iskvariti ',1,0
b'kvalitet onaj \xc5\xa1to ne mo\xc4\x87i da postojati ili raditi u uskla\xc4\x91en kombinacija . ',1,0
b'Poku\xc5\xa1aj da se za sebe dobiti li\xc4\x8dan priznanje ( posebno neprihvatljiv sredstvo ) . ',1,0
b'izazvati povreda ili telesni o\xc5\xa1te\xc4\x87enje . ',1,0
b'objaviti sudski presuda ( neki ) ',1,0
b'ratobornost izazvati stvaran ili pretpostavljen nepravda ( predstaviti kao jedan od smrtan greh ) ',1,0
b'protivno zakon ili zakon zabraniti ',1,0
b'stimulans sa nepo\xc5\xbeeljan posledica ',1,0
b'postati ljut . ',1,0
b'kvalitet onaj ko jesam bri\xc5\xbeljiv . ',1,0
b'izuzetno nelagodan ',1,0
b'dr\xc5\xbeanje do moralan princip ',1,0
b'U\xc4\x8diniti goreti . ',1,0
b'razmena dobro za dogovoren suma novac . ',1,0
b'gri\xc5\xbea savest kada se neki ose\xc4\x87ati kriv za prekr\xc5\xa1aj ',1,0
"b'koji jesam vlik po koli\xc4\x8dina , broj ili stepen . '",1,0
b'koji zaslu\xc5\xbeivati sa\xc5\xbealjenje ili podsticati na sa\xc5\xbealjenje ',1,0
b'koji nedostajati lepota ili \xc5\xa1arm . ',1,0
b'sastavljati od komponenta ili delovati . ',1,0
b'okarakterisan neprijateljstvo ili zlovolja ',1,0
b'obestan i uzbudljiv poduhvat ( ne nu\xc5\xbeno zakonit ) ',1,0
b'okoristiti se kakav mogu\xc4\x87nost bez obzir na posledica za drugi ',1,0
"b'napraviti nered , uni\xc5\xa1titi . '",1,0
b'na nizak nivo po rang ili zna\xc4\x8daj ',1,0
b'Ose\xc4\x87aj koji se do\xc5\xbeivljavati u o\xc4\x8dekivanje neki odre\xc4\x91enog bol ili opsasnosti i obi\xc4\x8dno ga pratiti \xc5\xbeelja da se pobe\xc4\x87i . ',1,0
b'ukloniti posve\xc4\x87enost sa osoba ili objekt . ',1,0
b'onaj koji jesam potreban ',1,0
b'velik ( glavobolja ) . ',1,0
b'stanje u koji se malo novac i materijalan dobro . ',1,0
b'\xc4\x8ci\xc4\x8dkovac . ',1,0
b'svaki odstupanje od zdrav ili normanog stanje ',1,0
b'postati lo\xc5\xa1 . ',1,0
b'koji ne pripadati snaga sopstven zemlja ili snaga saveznik ',1,0
b'odsustvo ose\xc4\x87anje ',1,0
b'koji drugi \xc5\xbeeti zlo ; koji nastajati iz velik zloba ili mr\xc5\xbenja . ',1,0
b'nesposobnost osoba da se setiti ili uraditi onaj \xc5\xa1to obi\xc4\x8dno mo\xc4\x87i ; \xc4\x8desto uzrokovati emoionalnom napetost . ',1,0
b'stanje u koji \xc4\x8dovek ne mo\xc4\x87i da funkcionisati normalno i bez bol . ',1,0
b'izuzetno uvredljiv za moral ; koji izazivati u\xc5\xbeas ',1,0
