Sysnet,NEG,Predicted
b'kvalitet onaj ko jesam bri\xc5\xbeljiv i pa\xc5\xbeljiv . ',0,1
b'sastavljati od komponenta ili delovati . ',1,0
b'koji nemati neki izrazit kvalitet ili karakteristika . ',0,1
b'Poku\xc5\xa1aj da se za sebe dobiti li\xc4\x8dan priznanje ( posebno neprihvatljiv sredstvo ) . ',1,0
"b'napraviti nered , uni\xc5\xa1titi . '",1,0
b'okrutan \xc4\x8din ; namerno izazivanje bol ili patnja . ',1,0
b'\xc4\x8cin konstruisanje ne\xc5\xa1to ( kao mas\xc5\xa1inskog delo ) . ',1,0
"b'koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . '",0,1
b'onaj \xc5\xa1to jesam upotrebiti . ',0,1
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',1,0
b'odbiti s gnu\xc5\xa1anje ',1,0
b'stanje o\xc5\xa1te\xc4\x87enosti ili raspad . ',1,0
b'\xc4\x8cin prevara . ',1,0
b'\xc4\x8cin prljanje ne\xc5\xa1to . ',1,0
b'Ose\xc4\x87anje zabrinutost . ',1,0
b'izuzetno nelagodan ',1,0
b'U\xc4\x8diniti ru\xc5\xbean . ',1,0
b'ukloniti posve\xc4\x87enost sa osoba ili objekt . ',1,0
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',1,0
b'lo\xc5\xa1e mirisati ',1,0
b'biti odbojan ; izazivati averzija ',1,0
b'kada nem jednakost ',1,0
b'\xc4\x8cin koji se sloboda neki osoba ograni\xc4\x8diti tako \xc5\xa1to se ona zato\xc4\x8diti ',1,0
b'koji odrati ( po pitanje cena ) ; za \xc5\xa1ta nerazuman cena tra\xc5\xbeiti ',1,0
b'okoristiti se kakav mogu\xc4\x87nost bez obzir na posledica za drugi ',1,0
b'koji nemati ose\xc4\x87anje sa\xc5\xbealjenje i toplina ',1,0
b'odsustvo kvalitet koji biti \xc4\x8diniti ne\xc5\xa1to vredan ili korisnim . ',1,0
b'koji ne mo\xc4\x87i da se desiti ili ostvariti ili s koji se ne mo\xc4\x87i rukovati . ',1,0
"b'koji izazivati iznena\xc4\x91enje , \xc4\x8du\xc4\x91enje ili zadivljenost '",1,0
b'O\xc5\xa1te\xc4\x87enje normalan fiziolo\xc5\xa1ki funkcija koji poga\xc4\x91ati deo ili ceo organizam . ',1,0
b'stvar ponuditi na prodaja ',1,0
b'koji pokazivati nedostatak briga za posledica . ',1,0
b'\xc4\x8cin nano\xc5\xa1enje rana . ',1,0
"b'biti la\xc5\xbeljiv , neiskren prema neki . '",1,0
b'odsustvo ose\xc4\x87anje ',1,0
b'onaj \xc5\xa1to jesam otkriven instinkt ili zaklu\xc4\x8divanjem a ne prepoznavanje uo\xc4\x8den znak ',0,1
b'koji izazivati poti\xc5\xa1tenost ',1,0
b'stanje koji jo\xc5\xa1 ne odgovarati zrelost . ',1,0
b'kvalitet onaj \xc5\xa1to ne mo\xc4\x87i da postojati ili raditi u uskla\xc4\x91en kombinacija . ',1,0
b'osobina onaj \xc5\xa1to jesam povezati ili stepen ne\xc5\xa1to \xc5\xa1to jesam povezati ',0,1
"b'koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebi\xc4\x8dnost drugi '",1,0
b'pod uticaj patnja i tuga ili ispuniti ovaj ose\xc4\x87anje ',1,0
