,ID,POS,NEG,Lemme,Definicija
88,ENG30-02664575-v,0.125,0.0,"biti podloga,temeljiti se",Biti ili činiti osnovu.
89,ENG30-02700104-v,0.0,0.125,"složiti se,pristajati","Biti u skladu, harmoniji."
90,ENG30-02705535-v,0.0,0.25,"biti svojstven,biti urođen,biti sadržan",Biti deo.
91,ENG30-02758033-v,0.375,0.125,"pljuštati,liti,liti kao iz kabla",Obilno kišiti.
92,ENG30-02733524-n,0.0,0.375,luk,Građevinska konstrukcija (obično zakrivljena) koja služi da premosti otvor (arhitektura).
93,ENG30-03462594-n,0.0,0.0,podloga,Površina (kao zid ili platno) pripremljena da primi boju za sliku (umetnost).
94,ENG30-08592165-n,0.0,0.375,prednost,Položaj koji trkač sa baze zauzima kada se priprema da napreduje ka sledećoj bazi (bejzbol).
95,ENG30-07293678-n,0.0,0.125,pobeda na poene,Pobeda dobijena na poene kada nema nokauta (boks).
96,ENG30-05034473-n,0.0,0.5,valencija,Karakteristika atoma ili radikala; njihov združena moć data u kategorijama broja atoma vodonika (ili ekvivalenta) (hemija).
97,ENG30-07977592-n,0.0,0.5,"biblioteka,programska biblioteka,biblioteka programa",Zbirka standardnih programa i podrutina koje se pohranjuju i stavljaju na raspolaganje za trenutnu upotrebu (informatika).
98,ENG30-13562862-n,0.125,0.25,ekološko nasleđivanje,Postepen i sređen proces promene u ekosistemu koji je izazvalo progresivno zamenjivanje jedne zajednice drugom dok se ne uspostavi stabilan vrhunac (ekologija).
99,ENG30-13451804-n,0.0,0.125,"korišćenje,iskorišćenje","Upotreba privrednih dobara da bi se zadovoljile potrebe, ili u proizvodne svrhe (ekonomija)."
100,ENG30-07420991-n,0.0,0.0,impuls,Oštar prolazan talas u normalnom električnom stanju (ili nizu takvih prolaznih) (elektronika).
101,ENG30-13597794-n,0.25,0.0,osnova,U pozicionom brojnom sistemu pozitivni celi broj koji je ekvivalentan jedinici na sledećem višem rednom mestu (matematika).
102,ENG30-05057061-n,0.0,0.375,odredište,Položaj na koji se po dužnosti raspoređuju brod ili flota (mornarica).
103,ENG30-01455732-a,0.0,0.375,"piskav,tanak,tanušan","Za zvuk, posebno glas."
104,ENG30-07345593-n,0.0,0.375,"talas,vibracija",Progresivno ometanje koje se prenosi bez pomeranja samog sredstva (fizika).
105,ENG30-01221254-n,0.0,0.375,ponašanje,Skup odgovora ili reakcija ili pokreta koje pravi organizam u bilo kakvoj situaciji (psihologija).
106,ENG30-01278080-a,0.0,0.0,"uvažen,istaknut,velik","Za osobe, koji stoji iznad drugih po karakteru ili postignućima ili ugledu."
107,ENG30-07968702-n,0.25,0.0,interesna grupa,"Obično u množini, društvena grupa čiji članovi kontrolišu neko polje rada i koji imaju zajedničke ciljeve."
108,ENG30-06630017-n,0.125,0.0,pozdrav,Potvrda ili izraz dobre volje (obično pri susretu)
109,ENG30-08500213-n,0.0,0.125,dubina,Najdublji i najudaljeniji deo.
110,ENG30-15235126-n,0.0,0.0,"s,sek,sekunda",Šezdeseti deo minuta: osnovna jedinica vremena koju je usvojio Međunarodni sitem mernih jedinica.
111,ENG30-15205532-n,0.0,0.125,"vek,stoleće",Sto godina.
112,ENG30-13863186-n,0.0,0.25,"lik,dvodimenzionalni oblik,figura u ravni",Dvodimenzionalni oblik.
113,ENG30-07201365-n,0.0,0.0,opisivanje,Čin opisivanja nečeg.
114,ENG30-00125629-n,0.0,0.0,udaranje,Čin udaranja jedne stvari drugom.
115,ENG30-07940448-n,0.0,0.0,carstvo,Osnovna grupa prirodnih predmeta.
116,ENG30-09622928-n,0.375,0.0,"voljeni,voljena,dragan,dragana,ljubav,cakan,cakana",Voljena osoba; koristi se u izrazima od milja.
117,ENG30-05949726-n,0.125,0.0,"mnjenje,javno mnjenje",Verovanje ili raspoloženje zajedničko većini ljudi: glas naroda.
118,ENG30-07929519-n,0.0,0.125,"kafa,kava",Napitak koji se sastoji od primese mlevenih zrna kafe.
119,ENG30-07933274-n,0.0,0.25,čaj,Napitak koji se spravlja potapanjem čajnih listova u vodu.
120,ENG30-05333777-n,0.0,0.5,arterija,Krvni sud koji odvodi krv iz srca u telo.
121,ENG30-04244997-n,0.0,0.25,"brodica,brodić",Mali čamac.
122,ENG30-03329663-n,0.0,0.0,"trajekt,feribot",Brod koji prevozi ljude ili vozila preko vodene površine i radi po redovnom rasporedu.
123,ENG30-02792552-n,0.0,0.25,"šlep,dereglija",Brod sa ravnim dnom za prenos teškog tereta (posebno na kanalima).
124,ENG30-05298313-n,0.0,0.0,vitalni organ,Organ koji je neophodan za život.
125,ENG30-08414119-n,0.0,0.0,porota,Telo građana zakletih da donose istinite presude u skladu sa dokazima predstavljenim na sudu.
126,ENG30-08375369-n,0.0,0.0,komuna,Zajednica ljudi ili porodica koje žive zajedno i dele sve.
127,ENG30-07966719-n,0.375,0.0,sektor,Zajednica ljudi koji čine deo društva ili privrede.
128,ENG30-09328904-n,0.0,0.0,jezero,Vodena površina okružena zemljom.
129,ENG30-02993546-n,0.0,0.25,centar,Zgrada posvećena posebnoj aktivnosti.
130,ENG30-04306080-n,0.0,0.25,stanica,Zgrada snabdevena posebnom opremom i osobljem za određene namene.
131,ENG30-03054311-n,0.0,0.5,"klub,udruženje",Zgrada koju zaposeda klub.
132,ENG30-03859280-n,0.0,0.5,sporedna zgrada,Zgrada koja je podređena i odvojena od glavne zgrade.
133,ENG30-03542333-n,0.0,0.5,hotel,Zgrada gde putnici mogu da plate smeštaj obroke i druge usluge.
134,ENG30-03457902-n,0.0,0.125,"staklenik,staklena bašta","Zgrada sa staklenim zidovima i krovom, za uzgoj i pokazivanje biljaka pod kontrolisanim uslovima."
135,ENG30-08057206-n,0.0,0.375,agencija,Firma koja služi druge firme.
136,ENG30-03594945-n,0.125,0.0,"džip,lendrover,terensko vozilo,terenac",Automobil pogodan za putovanje preko teškog terena.
137,ENG30-02924554-n,0.0,0.125,"krš,krntija",Automobil koji je star i nepouzdan.
138,ENG30-00138221-n,0.0,0.5,"poljubac,celov,ljubljenje",Dodir usnama.
139,ENG30-07414922-n,0.0,0.375,"sastanak,susret",Slučajno ili neočekivano susretanje.
140,ENG30-08006094-n,0.0,0.5,"sloj,grupa",Kategorija koja dolazi između nekih određenih granica.
141,ENG30-07305234-n,0.0,0.5,"nedaća,beda",Uzrok velikih patnji i nesreće.
142,ENG30-07189411-n,0.0,0.5,"blagoslov,blagosiljanje",Ceremonijalna molitva koja zaziva božansku zaštitu.
143,ENG30-00260622-n,0.375,0.25,reforma,Promena nabolje kao rezultat ispravljanja zloupotreba.
144,ENG30-07357388-n,0.25,0.0,"napredak,progres,unapređenje","Promena nabolje, napredak u razvoju."
145,ENG30-07358576-n,0.0,0.0,"prelaz,prelazak,tranzicija",Promena sa jednog mesta ili stanja ili stepena u drugo.
146,ENG30-04981658-n,0.0,0.125,prizvuk,Karakterističan zvuk.
147,ENG30-01037819-n,0.0,0.375,krštenje,Hrišćanska sveta tajna koja znači ponovno duhovno rođenje.
148,ENG30-08579487-n,0.0,0.125,veliki krug,Kružna linija na površini sfere koja se dobija kada se ona preseče ravninom koja prolazi kroz centar.
149,ENG30-04253437-n,0.0,0.25,sapun,Sredstvo za čišćenje napravljeno od soli biljnih ili životinjskih masti.
150,ENG30-14845743-n,0.0,0.25,"H2O,voda",Prozirna tečnost bez mirisa i ukusa.
151,ENG30-13811410-n,0.0,0.0,"bliskost,srodnost",Bliska veza karakterisana zajedničkim interesom ili sličnom prirodom ili svojstvima.
152,ENG30-02536685-n,0.0,0.25,"brat,bata,ortak,drugar,pajtaš",Blizak prijatelj koji učestvuje sa drugarima u njihovim aktivnostima.
153,ENG30-07977870-n,0.0,0.25,biblioteka,Zbirka književnih dokumenata ili zapisa koji se drže radi čitanja.
154,ENG30-07961480-n,0.0,0.375,"gomila,hrpa",Zbirka predmeta naslaganih jedan preko drugog.
155,ENG30-04338359-n,0.0,0.5,"niz,niska",Zbirka predmeta naredanih na jedno vlakno.
156,ENG30-08271042-n,0.0,0.0,"galaksija,maglina",Grupa zvezdanih sistema.
157,ENG30-08407619-n,0.0,0.125,izložba,Grupa stvari (dobara ili umetničkih dela itd.) za javno pokazivanje.
158,ENG30-07963711-n,0.0,0.375,kombinacija,Grupa stvari koje su udružene; zbir odvojenih delova ili svojstava.
159,ENG30-08374049-n,0.0,0.125,"kolonija,naseobina",Zajednica ljudi koji se nasele daleko od matice ali sa njom održavaju veze.
160,ENG30-07210801-n,0.0,0.75,"žalba,tužba",Pritužba na (stvarnu ili zamišljenu) nepravdu koja uzrokuje ozlojeđenost i predstavlja osnovu za delovanje.
161,ENG30-07211092-n,0.0,0.5,"gunđanje,roptanje,mrmljanje",Pritužba izgovorena tihim i nerazgovetnim glasom.
162,ENG30-07956426-n,0.0,0.125,paket,Potpuna grupa sličnih stvari.
163,ENG30-03069752-n,0.0,0.375,fakultet,Skup zgrada u kojim je smešten fakultet.
164,ENG30-02679415-n,0.0,0.375,dodatak,Sastojak koji se dodaje nečemu da ga poboljša.
165,ENG30-05559908-n,0.0,0.5,"ekstremitet,dodatak",Telesni dodatak ili deo koji liči na dodatak.
166,ENG30-04454240-n,0.0,0.375,"zvrk,čigra",Kupasta dečja igračka koja se sužava u čelični vrh na kome može da se zavrti.
167,ENG30-08377085-n,0.0,0.375,"kurs,pravac",Povezani niz događaja ili radnji.
168,ENG30-13870805-n,0.0,0.125,"veza,link",Oblik koji spaja.
169,ENG30-03779370-n,0.0,0.375,"kalup,modla,model",Posuda u koji se uliva tečnost da se stvori dati oblik kada se stvrdne.
170,ENG30-02801938-n,0.0,0.375,"košara,korpa",Sud koji je obično pleten i ima ručke.
171,ENG30-07458453-n,0.0,0.5,"trka,utrka",Brzinsko takmičenje.
172,ENG30-08403787-n,0.0,0.25,opozicija,Zajednica ljudi ujedinjenih u odupiranju nečemu.
173,ENG30-15123754-n,0.0,0.375,kontinuum,Neprekidna nevremena celina ili odsečak ili niz događaja u kome nijedan deo nije različiti niti se može razlikovati od susednih.
174,ENG30-03709644-n,0.0,0.375,poštansko vozilo,Prevozno sredstvo koje vozi poštu.
175,ENG30-03969627-n,0.0,0.0,visak,Uzica o koju je obešen metalni teg koji pokazuje direktno na centar zemljine teže.
176,ENG30-00892145-n,0.0,0.125,seminar,Kurs koji se nudi maloj grupi naprednih studenata.
177,ENG30-03366823-n,0.0,0.375,otirač,Pokrivači za pod automobila.
178,ENG30-03050026-n,0.0,0.25,pokrivač od tkanine,pokrivač napravljen od tkanine
179,ENG30-04151940-n,0.0,0.125,"zaklon,skrivalište,plašt,ogrtač",Pokrivač koji služi da sakrije ili zakloni.
180,ENG30-03724870-n,0.125,0.125,"maska,obrazina,krabulja",Navlaka koja prerušava ili štiti lice.
181,ENG30-00770270-n,0.0,0.25,"prekršaj,prestup",Zločin manje ozbiljan od teškog.
182,ENG30-13872975-n,0.0,0.375,"konusni presek,kupasti presek",Kriva koju stvara presek ravni i kružne kupe.
183,ENG30-03623556-n,0.0,0.5,nož,Alat za sečenje sa oštrom zašiljenim metalnim sečivom i sa drškom.
184,ENG30-04101497-n,0.0,0.5,valjak,Cilindar koji se okreće.
185,ENG30-08644213-n,0.0,0.25,"opasnost,pogibelj,pogibao",Opasno mesto.
186,ENG30-15183428-n,0.0,0.625,praznik,Dan na koji se ne radi po običaju ili zakonu.
187,ENG30-07389330-n,0.0,0.375,"prasak,salva",Duboki dugi zvuk (kao grmljavine).
188,ENG30-03800563-n,0.125,0.0,muzej,Mesto za sakupljanje i prikazivanje predmeta koji imaju naučnu ili istorijsku ili umetničku vrednost.
189,ENG30-03320046-n,0.0,0.125,fen,Naprava koja stvara strujanje vazduha pokretanjem jedne ili više površina.
190,ENG30-03666591-n,0.0,0.375,upaljač,Naprava za paljenje goriva ili naboja.
191,ENG30-03851341-n,0.0,0.375,optički uređaj,Uređaj za proizvodnju ili kontrolu svetlosti.
192,ENG30-03111899-n,0.0,0.0,sredstvo za ublažavanje bolova,Naprava za lečenje povreda ili bolesti.
193,ENG30-03277771-n,0.0,0.125,elektronski uređaj,Uređaj koji ispunjava svoju ulogu na elektronski pogon.
194,ENG30-03705379-n,0.0,0.125,magnet,Uređaj koji privlači gvožđe i stvara magnetsko polje.
195,ENG30-04526964-n,0.0,0.25,ventilator,Uređaj koji ubacuje svež vazduh i izbacuje prljavi.
196,ENG30-03744840-n,0.0,0.0,"memorijski uređaj,skladišni uređaj",Uređaj koji čuva informacije radi vraćanja podataka.
197,ENG30-03269401-n,0.0,0.375,električni uređaj,Uređaj koji proizvodi ili radi na struju.
198,ENG30-03736970-n,0.0,0.0,"mehanička naprava,mehanički uređaj",Uređaj koji radi na mehaničkim principima.
199,ENG30-03720163-n,0.0,0.25,"mapa,karta",Shematski prikaz zemljine površine.
200,ENG30-00046344-n,0.0,0.0,"vratolomija,egzibicija","Teška ili neobična majstorija, obično urađena da se privuče pažnja."
201,ENG30-07307895-n,0.0,0.5,električno pražnjenje,Pražnjenje elektriciteta.
202,ENG30-07140978-n,0.0,0.5,"rasprava,debata,spor",Diskusija u kojoj se iznose argumenti za ili protiv nekog predloga.
203,ENG30-07148192-n,0.0,0.125,"pregovori,razgovori",Diskusija čija namera je da dovede do sporazuma.
204,ENG30-02025550-v,0.0,0.5,"pratiti,putovati sa",Ići ili putovati sa nekim.
205,ENG30-02037090-v,0.0,0.375,"nagnuti se,survati se,spustiti se",Biti pod uglom.
206,ENG30-03464467-n,0.0,0.125,branik,Naprava smišljena da spreči povrede.
207,ENG30-02185373-v,0.0,0.25,"kucati,tapkati,lupkati,lupati,tupkati",Proizvoditi lagane ritmičke udarce po površini.
208,ENG30-00446493-n,0.0,0.375,"borba,bokserski meč",Boksersko nadmetanje.
209,ENG30-04749572-n,0.0,0.125,distinkcija,Karakteristična razlika.
210,ENG30-08538426-n,0.0,0.25,"područje,oblast",Zona grada ili varoši omeđena iz administrativnih razloga.
211,ENG30-13163250-n,0.0,0.0,grana,Ogranak korena ili sekundarni koren koji izniče iz glavnog korena biljke.
212,ENG30-08216900-n,0.0,0.0,sekcija,Deo orkestra koji sadrži sve instrumente iste klase.
213,ENG30-02731398-n,0.0,0.125,apsida,"Kupolasti ili zasvođeni ogranak ili ispust na građevini, pogotovo istočni kraj crkve: obično sadrži oltar."
214,ENG30-03581634-n,0.25,0.125,"opijat,intoksikant",Droga koja može da proizvede stanje opijenosti.
215,ENG30-04166553-n,0.0,0.125,"depresiv,depresant,sedativ",Lek koji smanjuje nadražljivost i smiruje osobu.
216,ENG30-04219424-n,0.0,0.375,svila,Tkanina koja se pravi od finih vlakana koje proizvode larve nekih insekata.
217,ENG30-03779128-n,0.0,0.375,moher,Tkanina koja se pravi od pređe dobijene od svilenkaste vune angorske koze.
218,ENG30-01242962-n,0.0,0.5,štrajk glađu,Uzdržavanje zatvorenika od hrane kao vid protesta.
219,ENG30-03682487-n,0.0,0.375,"brava,reza",Zatvarač prikačen na vrata ili ladicu koji ih drži čvrsto zatvorene.
220,ENG30-00006150-n,0.0,0.25,roditelj,Otac ili majka; neko ko začne ili rodi ili hrani i podiže dete; rođak koji igra ulogu staratelja.
221,ENG30-09992837-n,0.0,0.5,"ćerka,kćerka,kći,devojka",direktni ženski potomak.
222,ENG30-13863602-n,0.0,0.5,podfigura,Figura koja je deo neke druge figure.
223,ENG30-05566097-n,0.125,0.125,"člankoviti organ,člankasti organ",Prst na ruci ili nozi kod ljudskih bića ili odgovarajući deo kod drugih kičmenjaka.
224,ENG30-08572335-n,0.0,0.375,fokus,Nepomični reper na konkavnoj strani kupastog preseka.
225,ENG30-03667380-n,0.0,0.0,rasvetno telo,Telo koje daje veštačko svetlo.
226,ENG30-03074855-n,0.0,0.25,češalj,Pljosnati predmet sa uskim zašiljenim zubima na jednoj strani; razmrsuje ili sređuje kosu.
227,ENG30-04045397-n,0.125,0.125,splav,Ravno ploveće sredstvo (obično napravljeno od trupaca ili dasaka) koje se može koristiti za transport ili kao platforma za plivače.
228,ENG30-03640589-n,0.0,0.5,"staza,prolaz",uski put ili cesta
229,ENG30-09923673-n,0.0,0.125,građanin,izvorni ili naturalizovani član države ili druge političke zajednice
230,ENG30-14024882-n,0.0,0.0,"san,počinak",prirodno i periodićno stanje odmora tokom koga se gubi svest o svetu
231,ENG30-09349797-n,0.0,0.25,mehanizam,prirodni predmet koji liči na mašinu po strukturi i funkciji
232,ENG30-03003730-n,0.0,0.125,komora,prirodni ili veštački zatvoren prostor
233,ENG30-09448361-n,0.0,0.125,vodotok,prirodna količina tekuće vode koja teče po zemlji ili pod njom
234,ENG30-05470189-n,0.0,0.25,"izdanak,izraštaj",prirodna izraslina iz dela organizma bilo životinjskog ili biljnog
235,ENG30-09624559-n,0.0,0.125,"posrednik,medijator",pregovarač koji služi kao veza između parničnih strana
236,ENG30-03822171-n,0.0,0.25,novina,novine kao fizički predmet
237,ENG30-08466412-n,0.0,0.0,dadaizam,nihilistički umetnički pokret (posebno u slikarstvu) koji je dostigao vrhunac u prvoj polovini 20-og veka; zasnovan na iracionalnosti i poricanju prihvaćenih zakona lepote
238,ENG30-11418750-n,0.0,0.0,"organski fenomen,organska pojava",prirodna pojava koja uključuje zhive biljke i bića
239,ENG30-13594585-n,0.0,0.0,"skor,rezultat",broj koji izražava postignuće ekipe ili osobe u igri ili takmičenju
240,ENG30-03236735-n,0.0,0.5,haljina,jednodelna odeća za žene; ima suknju i bluzu
241,ENG30-07956721-n,0.0,0.0,"špil,komplet,špil karata",komplet od 52 karte
242,ENG30-03704210-n,0.0,0.25,"magazin,časopis",broširana periodična publikacija kao fizički predmet
243,ENG30-05221895-n,0.0,0.375,"zona,područje,pojas",deo živog bića koji ima posebnu funkciju ili ga napaja data arterija ili nerv
244,ENG30-02728763-n,0.0,0.375,dodatak,deo koji se priključuje nečemu većem
245,ENG30-08265469-n,0.125,0.375,"pravna ekipa,pravni tim",ekipa koja učestvuje u pravnom postupku
246,ENG30-13281275-n,0.0,0.5,redovna isplata,isplata koja se daje u redovnim razmacima
247,ENG30-06892775-n,0.0,0.125,koncert,muzički događaj koji izvode svirači ili pevači koji ne uključuje pozorišno prikazivanje
248,ENG30-15204983-n,0.0,0.0,"decenija,dekada,desetleće",period od 10 godina
249,ENG30-15167577-n,0.0,0.875,mrak,period neznanja ili zaostalosti
