,ID,Lemme,Definicija,POS,NEG
106,ENG30-01278080-a,"uvažen,istaknut,velik","za osoba , koji stajati iznad drugi po karakter ili postignuće ili ugled . ",0.0019299167,0.008069976
107,ENG30-07968702-n,interesna grupa,"Obično u množina , društven grupa čiji član kontrolisati neki polje rad i koji imati zajednički cilj . ",1.148101e-05,7.395471e-07
108,ENG30-06630017-n,pozdrav,potvrda ili izraz dobar volja ( obično pri susret ) ,0.016120223,0.0036037306
109,ENG30-08500213-n,dubina,dubok i udaljen deo . ,0.011545317,0.0057535833
110,ENG30-15235126-n,"s,sek,sekunda",Šezdeseti deo minuta : osnovni jedinica vreme koji jesam usvojiti Međunarodni sitem merni jedinica . ,3.442396e-06,1.0284494e-06
111,ENG30-15205532-n,"vek,stoleće",sto godina . ,0.13426504,0.10908042
112,ENG30-13863186-n,"lik,dvodimenzionalni oblik,figura u ravni",dvodimenzionalan oblik . ,0.09664196,0.07939132
113,ENG30-07201365-n,opisivanje,Čin opisivanje nešto . ,0.06802195,0.050365787
114,ENG30-00125629-n,udaranje,Čin udaranje jedan stvar drugi . ,0.0023911293,0.0037079393
115,ENG30-07940448-n,carstvo,osnovni grupa prirodan predmet . ,0.003456261,0.00088842685
116,ENG30-09622928-n,"voljeni,voljena,dragan,dragana,ljubav,cakan,cakana",voljen osoba ; koristiti se u izraz od milja . ,0.0028173923,1.5885309e-05
117,ENG30-05949726-n,"mnjenje,javno mnjenje",verovanje ili raspoloženje zajednički većina ljudi : glas narod . ,0.0003413849,0.0004787728
118,ENG30-07929519-n,"kafa,kava",napitak koji se sastojati od primesa mleven zrno kafa . ,4.595396e-05,1.8070545e-05
119,ENG30-07933274-n,čaj,napitak koji se spravljati potapanje čajni list u voda . ,4.9831997e-05,7.4396055e-05
120,ENG30-05333777-n,arterija,krvni sud koji odvoditi krv iz srce u telo . ,6.348201e-06,0.00018556311
121,ENG30-04244997-n,"brodica,brodić",mali čamac . ,0.08700247,0.06062872
122,ENG30-03329663-n,"trajekt,feribot",Brod koji prevoziti ljudi ili vozilo preko voden površina i raditi po redovan raspored . ,2.038637e-06,4.864601e-06
123,ENG30-02792552-n,"šlep,dereglija",Brod sa ravan dno za prenos težak teret ( posebno na kanal ) . ,5.021414e-06,7.2051303e-06
124,ENG30-05298313-n,vitalni organ,organ koji jesam neophodan za život . ,0.01240792,0.014783502
125,ENG30-08414119-n,porota,telo građanin zaklet da donositi istinit presuda u sklad sa dokaz predstavljen na sud . ,0.000116119714,0.0018735873
126,ENG30-08375369-n,komuna,zajednica ljudi ili porodica koji živa zajedno i deliti sav . ,6.4401447e-06,5.7244492e-06
127,ENG30-07966719-n,sektor,zajednica ljudi koji činiti deo društvo ili privreda . ,0.00029087544,0.00022221792
128,ENG30-09328904-n,jezero,voden površina okružen zemlja . ,0.001169591,0.0016377066
129,ENG30-02993546-n,centar,zgrada posvećen poseban aktivnost . ,0.016205486,0.02321922
130,ENG30-04306080-n,stanica,zgrada snabdeven poseban oprema i osoblje za odrediti namena . ,3.119577e-05,2.944787e-05
131,ENG30-03054311-n,"klub,udruženje",zgrada koji zaposedati klub . ,0.019802187,0.0569662
132,ENG30-03859280-n,sporedna zgrada,zgrada koji jesam podrediti i odvojiti od glavne zgrada . ,0.00022829046,0.0013873244
133,ENG30-03542333-n,hotel,zgrada gde putnik moći da platiti smeštaj obrok i drugi usluga . ,0.00012396442,7.174548e-05
134,ENG30-03457902-n,"staklenik,staklena bašta","zgrada sa staklen zid i krov , za uzgoj i pokazivanje biljka pod kontrolisan uslov . ",1.5675727e-05,2.5527524e-06
135,ENG30-08057206-n,agencija,firma koji služiti drugi firma . ,0.0060411044,0.016423384
136,ENG30-03594945-n,"džip,lendrover,terensko vozilo,terenac",automobil pogodan za putovanje preko težak teren . ,0.0007732771,4.420217e-05
137,ENG30-02924554-n,"krš,krntija",automobil koji jesam star i nepouzdan . ,0.012251087,0.0053755534
138,ENG30-00138221-n,"poljubac,celov,ljubljenje",dodir usna . ,0.15002328,0.16382775
139,ENG30-07414922-n,"sastanak,susret",Slučajno ili neočekivan susretanje . ,0.16559982,0.17651394
140,ENG30-08006094-n,"sloj,grupa",kategorija koji dolaziti između neki određenih granica . ,0.00025103107,0.000763154
141,ENG30-07305234-n,"nedaća,beda",uzrok velik patnja i nesreća . ,0.019166885,0.088164754
142,ENG30-07189411-n,"blagoslov,blagosiljanje",ceremonijalan molitva koji zazivati božanski zaštita . ,0.0052825585,0.007851948
143,ENG30-00260622-n,reforma,promena nabolje kao rezultat ispravljanje zloupotreba . ,0.012672367,0.003364455
144,ENG30-07357388-n,"napredak,progres,unapređenje","promena nabolje , napredak u razvoj . ",0.029253852,0.0015662122
145,ENG30-07358576-n,"prelaz,prelazak,tranzicija",promena sa jedan mesto ili stanje ili stepen u drugi . ,3.6666872e-05,0.0005526114
146,ENG30-04981658-n,prizvuk,Karakterističan zvuk . ,0.07705112,0.06378606
147,ENG30-01037819-n,krštenje,Hrišćanska svet tajna koji značiti ponovno duhovno rođenje . ,0.00035223184,0.0008037995
148,ENG30-08579487-n,veliki krug,Kružna linija na površina sfera koji se dobijati kada se ona preseći ravnina koji prolaziti kroz centar . ,4.934409e-06,6.5493973e-06
149,ENG30-04253437-n,sapun,sredstvo za čišćenje napraviti od so biljni ili životinjski mast . ,8.99448e-05,1.069681e-05
150,ENG30-14845743-n,"H2O,voda",proziran tečnost bez miris i ukus . ,0.0022779182,0.00045201287
151,ENG30-13811410-n,"bliskost,srodnost",blizak veza karakterisati zajednički interes ili sličan priroda ili svojstvo . ,0.0016864198,0.0012631728
152,ENG30-02536685-n,"brat,bata,ortak,drugar,pajtaš",blizak prijatelj koji učestvovati sa drugar u njihov aktivnost . ,0.00010796101,1.496654e-05
153,ENG30-07977870-n,biblioteka,zbirka književan dokument ili zapis koji se držati radi čitanje . ,0.00027981936,0.00037054194
154,ENG30-07961480-n,"gomila,hrpa",zbirka predmet naslagan jedan preko drugi . ,0.00047788746,0.00012491405
155,ENG30-04338359-n,"niz,niska",zbirka predmet naredanih na jedan vlakno . ,0.00034625814,7.9814316e-05
156,ENG30-08271042-n,"galaksija,maglina",grupa zvezdan sistema . ,0.04875729,0.035524532
157,ENG30-08407619-n,izložba,grupa stvar ( dobro ili umetnički delo itd . ) za javan pokazivanje . ,0.00019571252,0.00016017798
158,ENG30-07963711-n,kombinacija,grupa stvar koji jesam udružen ; zbir odvojen deo ili svojstvo . ,0.00013606361,0.0004637995
159,ENG30-08374049-n,"kolonija,naseobina",zajednica ljudi koji se naseliti daleko od matica ali sa ona održavati veza . ,4.6010373e-06,1.2873646e-05
160,ENG30-07210801-n,"žalba,tužba",Pritužba na ( stvaran ili zamišljen ) nepravda koji uzrokovati ozlojeđenost i predstavljati osnova za delovanje . ,5.605952e-05,0.0039426554
161,ENG30-07211092-n,"gunđanje,roptanje,mrmljanje",Pritužba izgovoriti tih i nerazgovetan glas . ,0.009499947,0.0068522952
162,ENG30-07956426-n,paket,potpun grupa sličan stvar . ,0.009519608,0.0026941516
163,ENG30-03069752-n,fakultet,skup zgrada u koji jesam smešten fakultet . ,0.00056399056,0.001949801
164,ENG30-02679415-n,dodatak,sastojak koji se dodavati nešto da ga poboljšati . ,0.015706697,0.0029347716
165,ENG30-05559908-n,"ekstremitet,dodatak",telesni dodatak ili deo koji ličiti na dodatak . ,4.7803533e-05,0.000121170015
166,ENG30-04454240-n,"zvrk,čigra",kupast dečji igračka koji se sužavati u čelični vrh na koji moći da se zavrtiti . ,3.60459e-05,9.5589654e-05
167,ENG30-08377085-n,"kurs,pravac",povezati niz događaj ili radnja . ,0.0039291163,0.0072659906
168,ENG30-13870805-n,"veza,link",oblik koji spajati . ,0.021955304,0.031182164
169,ENG30-03779370-n,"kalup,modla,model",posuda u koji se ulivati tečnost da se stvoriti dati oblik kada se stvrdnuti . ,1.4260552e-05,5.5797877e-06
170,ENG30-02801938-n,"košara,korpa",sud koji jesam obično plesti i imati ručak . ,0.0017138598,0.00047064348
171,ENG30-07458453-n,"trka,utrka",brzinski takmičenje . ,0.17596473,0.1261443
172,ENG30-08403787-n,opozicija,zajednica ljudi ujedinjen u odupiranje nešto . ,0.00060416997,0.0010058086
173,ENG30-15123754-n,kontinuum,neprekidan nevreme celina ili odsečak ili niz događaj u koji nijedan deo jesam različit niti se moći razlikovati od susednih . ,1.2286585e-05,8.134614e-05
174,ENG30-03709644-n,poštansko vozilo,prevozni sredstvo koji voziti pošta . ,0.0023603428,0.0033299825
175,ENG30-03969627-n,visak,uzica o koji jesam obesiti metalan teg koji pokazivati direktno na centar zemljin teža . ,0.00021675741,0.00036621056
176,ENG30-00892145-n,seminar,kurs koji se nuditi mali grupa napredan student . ,3.0513213e-05,1.9284602e-05
177,ENG30-03366823-n,otirač,Pokrivači za pod automobil . ,0.025915312,0.016807767
178,ENG30-03050026-n,pokrivač od tkanine,pokrivač napraviti od tkanina ,0.0052930955,0.00077688403
179,ENG30-04151940-n,"zaklon,skrivalište,plašt,ogrtač",Pokrivač koji služiti da sakriti ili zakloniti . ,0.008156978,0.008152997
180,ENG30-03724870-n,"maska,obrazina,krabulja",navlaka koji prerušavati ili štititi lice . ,0.010631863,0.06072463
181,ENG30-00770270-n,"prekršaj,prestup",Zločin manje ozbiljan od težak . ,0.009595514,0.0073892144
182,ENG30-13872975-n,"konusni presek,kupasti presek",kriva koji stvarati presek ravan i kružan kup . ,0.00024420733,0.00013360182
183,ENG30-03623556-n,nož,alat za sečenje sa oštar zašiljen metalan sečivo i sa drška . ,1.7093695e-05,1.7948494e-05
184,ENG30-04101497-n,valjak,cilindar koji se okretati . ,0.028556665,0.025188887
185,ENG30-08644213-n,"opasnost,pogibelj,pogibao",opasno mesto . ,0.13384776,0.10022174
186,ENG30-15183428-n,praznik,Dan na koji se ne raditi po običaj ili zakon . ,5.3107964e-05,0.010922386
187,ENG30-07389330-n,"prasak,salva",dubok dug zvuk ( kao grmljavina ) . ,0.0008780409,0.009203048
188,ENG30-03800563-n,muzej,mesto za sakupljanje i prikazivanje predmet koji imati naučni ili istorijski ili umetnički vrednost . ,0.0003403226,3.0345782e-05
189,ENG30-03320046-n,fen,naprava koji stvarati strujanje vazduh pokretanje jedan ili više površina . ,1.00250345e-05,2.7152362e-05
190,ENG30-03666591-n,upaljač,naprava za paljenje gorivo ili naboj . ,0.039489873,0.024589833
191,ENG30-03851341-n,optički uređaj,Uređaj za proizvodnja ili kontrola svetlost . ,0.0022391824,0.0021305182
192,ENG30-03111899-n,sredstvo za ublažavanje bolova,naprava za lečenje povreda ili bolest . ,0.045389075,0.13676806
193,ENG30-03277771-n,elektronski uređaj,Uređaj koji ispunjavati svoj uloga na elektronski pogon . ,0.00012485964,2.86339e-05
194,ENG30-03705379-n,magnet,Uređaj koji privlačiti gvožđe i stvarati magnetski polje . ,0.00014973692,5.532483e-05
195,ENG30-04526964-n,ventilator,Uređaj koji ubacivati svež vazduh i izbacivati prljav . ,0.0007583181,0.00020217588
196,ENG30-03744840-n,"memorijski uređaj,skladišni uređaj",Uređaj koji čuvati informacija radi vraćanje podatak . ,0.00015847632,0.00014948653
197,ENG30-03269401-n,električni uređaj,Uređaj koji proizvoditi ili raditi na struja . ,0.000101772916,0.0018796163
198,ENG30-03736970-n,"mehanička naprava,mehanički uređaj",Uređaj koji raditi na mehanički princip . ,0.000244837,0.0021049937
199,ENG30-03720163-n,"mapa,karta",shematski prikaz zemljin površina . ,0.0065673618,0.0041680974
200,ENG30-00046344-n,"vratolomija,egzibicija","Teška ili neobičan majstorija , obično uraditi da se privući pažnja . ",0.0031116754,0.0012618058
201,ENG30-07307895-n,električno pražnjenje,Pražnjenje elektricitet . ,0.13307637,0.116273835
202,ENG30-07140978-n,"rasprava,debata,spor",diskusija u koji se iznositi argument za ili protiv neki predlog . ,0.000115043236,0.0012037099
203,ENG30-07148192-n,"pregovori,razgovori",diskusija čiji namera jesam da dovesti do sporazum . ,0.0052671516,0.0015343754
204,ENG30-02025550-v,"pratiti,putovati sa",Ići ili putovati sa neki . ,0.005821165,0.008998731
205,ENG30-02037090-v,"nagnuti se,survati se,spustiti se",biti pod ugao . ,0.03875506,0.050191276
206,ENG30-03464467-n,branik,naprava smisliti da sprečiti povreda . ,0.056543514,0.11542778
207,ENG30-02185373-v,"kucati,tapkati,lupkati,lupati,tupkati",proizvoditi lagati ritmički udarac po površina . ,0.00086891395,0.0022892857
208,ENG30-00446493-n,"borba,bokserski meč",bokserski nadmetanje . ,0.2093381,0.19221032
209,ENG30-04749572-n,distinkcija,Karakteristična razlika . ,0.22382301,0.23139137
210,ENG30-08538426-n,"područje,oblast",Zona grad ili varoš omeđen iz administrativan razlog . ,8.460022e-05,8.053063e-05
211,ENG30-13163250-n,grana,ogranak koren ili sekundaran koren koji izniknuti iz glavnog koren biljka . ,2.0714426e-05,1.9186227e-05
212,ENG30-08216900-n,sekcija,deo orkestar koji sadržati sav instrument isti klasa . ,7.1725462e-06,3.1842337e-06
213,ENG30-02731398-n,apsida,"Kupolasti ili zasvođen ogranak ili ispust na građevina , pogotovo istočni kraj crkva : obično sadržati oltar . ",1.2373561e-05,1.6581604e-05
214,ENG30-03581634-n,"opijat,intoksikant",droga koji moći da proizvesti stanje opijenost . ,0.029371869,0.07701251
215,ENG30-04166553-n,"depresiv,depresant,sedativ",lek koji smanjivati nadražljivost i smirivati osoba . ,0.0021816813,0.0015723797
216,ENG30-04219424-n,svila,tkanina koji se praviti od fin vlakno koji proizvoditi larva neki insekt . ,1.2840397e-05,2.7707387e-05
217,ENG30-03779128-n,moher,tkanina koji se praviti od preći dobiti od svilenkast vuna angorski koza . ,1.9605399e-05,5.472099e-06
218,ENG30-01242962-n,štrajk glađu,Uzdržavanje zatvorenik od hrana kao vid protest . ,0.00034969219,0.00018219934
219,ENG30-03682487-n,"brava,reza",Zatvarač prikačiti na vrata ili ladica koji ona držati čvrsto zatvoriti . ,9.947427e-05,0.00019232495
220,ENG30-00006150-n,roditelj,otac ili majka ; neki ko začeti ili roditi ili hraniti i podignuti dete ; rođak koji igrati uloga staratelj . ,6.2099505e-05,8.907683e-05
221,ENG30-09992837-n,"ćerka,kćerka,kći,devojka",direktan ženski potomak . ,0.056604955,0.029696472
222,ENG30-13863602-n,podfigura,figura koji jesam deo neki drugi figura . ,0.0022310154,0.0025635478
223,ENG30-05566097-n,"člankoviti organ,člankasti organ",prst na ruka ili noga kod ljudski biće ili odgovarajući deo kod drugi kičmenjak . ,3.8212293e-06,1.7885191e-06
224,ENG30-08572335-n,fokus,Nepomični reper na konkavan strana kupast presek . ,0.0019097687,0.0011869603
225,ENG30-03667380-n,rasvetno telo,telo koji davati veštački svetlo . ,0.0024318146,0.0033897003
